plug_label,colony_id,treatment,bleach_treat,symbiont_treat,bleach_bath,tank,position,treat_tank,full,y,x,coord_plot
236,B,C,C,C,D,1,37,C_1,C_1_37,7,1,"7, 1"
1093,F,C,C,C,D,1,39,C_1,C_1_39,7,5,"7, 5"
889,E,C,C,C,D,1,14,C_1,C_1_14,3,3,"3, 3"
1090,F,C,C,C,D,1,8,C_1,C_1_8,2,4,"2, 4"
771,D,C,C,C,D,1,9,C_1,C_1_9,2,6,"2, 6"
1070,F,C,C,C,D,2,42,C_2,C_2_42,7,11,"7, 11"
966,E,C,C,C,D,2,31,C_2,C_2_31,6,2,"6, 2"
777,D,C,C,C,D,2,29,C_2,C_2_29,5,9,"5, 9"
408,C,C,C,C,D,2,17,C_2,C_2_17,3,9,"3, 9"
965,E,C,C,C,D,2,18,C_2,C_2_18,3,11,"3, 11"
487,C,C,C,C,D,2,11,C_2,C_2_11,2,10,"2, 10"
131,A,C,C,C,D,2,4,C_2,C_2_4,1,7,"1, 7"
461,C,C,C,C,D,2,5,C_2,C_2_5,1,9,"1, 9"
598,D,C,C,C,D,3,38,C_3,C_3_38,7,3,"7, 3"
296,B,C,C,C,D,3,35,C_3,C_3_35,6,10,"6, 10"
310,B,C,C,C,D,3,26,C_3,C_3_26,5,3,"5, 3"
354,C,C,C,C,D,3,22,C_3,C_3_22,4,8,"4, 8"
110,A,C,C,C,D,3,2,C_3,C_3_2,1,3,"1, 3"
165,A,L_RIC,Low,RIC,A,1,32,L_RIC_1,L_RIC_1_32,6,4,"6, 4"
62,A,L_RIC,Low,RIC,A,1,36,L_RIC_1,L_RIC_1_36,6,12,"6, 12"
353,C,L_RIC,Low,RIC,A,1,27,L_RIC_1,L_RIC_1_27,5,5,"5, 5"
1065,F,L_RIC,Low,RIC,A,1,30,L_RIC_1,L_RIC_1_30,5,11,"5, 11"
716,D,L_RIC,Low,RIC,A,1,17,L_RIC_1,L_RIC_1_17,3,9,"3, 9"
642,D,L_RIC,Low,RIC,B,2,31,L_RIC_2,L_RIC_2_31,6,2,"6, 2"
814,D,L_RIC,Low,RIC,B,2,32,L_RIC_2,L_RIC_2_32,6,4,"6, 4"
145,A,L_RIC,Low,RIC,B,2,33,L_RIC_2,L_RIC_2_33,6,6,"6, 6"
267,B,L_RIC,Low,RIC,B,2,34,L_RIC_2,L_RIC_2_34,6,8,"6, 8"
1012,F,L_RIC,Low,RIC,B,2,27,L_RIC_2,L_RIC_2_27,5,5,"5, 5"
300,B,L_RIC,Low,RIC,B,2,29,L_RIC_2,L_RIC_2_29,5,9,"5, 9"
888,E,L_RIC,Low,RIC,B,2,22,L_RIC_2,L_RIC_2_22,4,8,"4, 8"
977,E,L_RIC,Low,RIC,B,2,10,L_RIC_2,L_RIC_2_10,2,8,"2, 8"
445,C,L_RIC,Low,RIC,B,2,5,L_RIC_2,L_RIC_2_5,1,9,"1, 9"
982,E,L_RIC,Low,RIC,C,3,34,L_RIC_3,L_RIC_3_34,6,8,"6, 8"
525,C,L_RIC,Low,RIC,C,3,19,L_RIC_3,L_RIC_3_19,4,2,"4, 2"
1011,F,L_RIC,Low,RIC,C,3,24,L_RIC_3,L_RIC_3_24,4,12,"4, 12"
263,B,L_RIC,Low,RIC,C,3,10,L_RIC_3,L_RIC_3_10,2,8,"2, 8"
216,B,L_SD,Low,SD,A,1,31,L_SD_1,L_SD_1_31,6,2,"6, 2"
39,A,L_SD,Low,SD,A,1,17,L_SD_1,L_SD_1_17,3,9,"3, 9"
217,B,L_SD,Low,SD,A,1,18,L_SD_1,L_SD_1_18,3,11,"3, 11"
1058,F,L_SD,Low,SD,B,2,36,L_SD_2,L_SD_2_36,6,12,"6, 12"
885,E,L_SD,Low,SD,B,2,26,L_SD_2,L_SD_2_26,5,3,"5, 3"
659,D,L_SD,Low,SD,B,2,29,L_SD_2,L_SD_2_29,5,9,"5, 9"
785,D,L_SD,Low,SD,B,2,18,L_SD_2,L_SD_2_18,3,11,"3, 11"
736,D,L_SD,Low,SD,B,2,11,L_SD_2,L_SD_2_11,2,10,"2, 10"
961,E,L_SD,Low,SD,B,2,12,L_SD_2,L_SD_2_12,2,12,"2, 12"
432,C,L_SD,Low,SD,C,3,37,L_SD_3,L_SD_3_37,7,1,"7, 1"
1219,F,L_SD,Low,SD,C,3,41,L_SD_3,L_SD_3_41,7,9,"7, 9"
192,B,L_SD,Low,SD,C,3,33,L_SD_3,L_SD_3_33,6,6,"6, 6"
