date,weeks_postb,bleach_treat,colony_id,dead,n
8/21/23,3,Low,E,0,45
8/21/23,3,Low,F,0,45
8/21/23,3,Medium,A,0,45
8/21/23,3,Medium,B,0,45
8/21/23,3,Medium,C,0,45
8/21/23,3,Medium,D,0,45
8/21/23,3,Medium,E,0,45
8/21/23,3,Medium,F,0,45
8/21/23,3,Severe,A,0,45
8/21/23,3,Severe,B,0,45
8/21/23,3,Severe,C,0,45
8/21/23,3,Severe,D,0,45
8/21/23,3,Severe,E,0,45
8/21/23,3,Severe,F,0,45
8/28/23,4,Control,A,0,21
8/28/23,4,Control,B,0,20
8/28/23,4,Control,C,0,21
8/28/23,4,Control,D,0,23
8/28/23,4,Control,E,0,20
8/28/23,4,Control,F,0,21
8/28/23,4,Low,A,0,45
8/28/23,4,Low,B,0,45
8/28/23,4,Low,C,0,45
8/28/23,4,Low,D,0,45
8/28/23,4,Low,E,0,45
8/28/23,4,Low,F,0,45
8/28/23,4,Medium,A,0,45
8/28/23,4,Medium,B,0,45
8/28/23,4,Medium,C,0,45
8/28/23,4,Medium,D,0,45
8/28/23,4,Medium,E,0,45
8/28/23,4,Medium,F,0,45
8/28/23,4,Severe,A,0,45
8/28/23,4,Severe,B,0,45
8/28/23,4,Severe,C,0,45
8/28/23,4,Severe,D,0,45
8/28/23,4,Severe,E,0,45
8/28/23,4,Severe,F,0,45
9/4/23,5,Control,A,0,21
9/4/23,5,Control,B,0,20
9/4/23,5,Control,C,0,21
9/4/23,5,Control,D,0,23
9/4/23,5,Control,E,0,20
9/4/23,5,Control,F,0,21
9/4/23,5,Low,A,0,45
9/4/23,5,Low,B,0,45
9/4/23,5,Low,C,0,45
9/4/23,5,Low,D,0,45
9/4/23,5,Low,E,0,45
9/4/23,5,Low,F,0,45
9/4/23,5,Medium,A,0,45
9/4/23,5,Medium,B,0,45
9/4/23,5,Medium,C,0,45
9/4/23,5,Medium,D,0,45
9/4/23,5,Medium,E,0,45
9/4/23,5,Medium,F,0,45
9/4/23,5,Severe,A,0,45
9/4/23,5,Severe,B,0,45
9/4/23,5,Severe,C,0,45
9/4/23,5,Severe,D,0,45
9/4/23,5,Severe,E,0,45
9/4/23,5,Severe,F,0,45
9/11/23,6,Control,A,0,21
9/11/23,6,Control,B,0,20
9/11/23,6,Control,C,0,21
9/11/23,6,Control,D,0,23
9/11/23,6,Control,E,0,20
9/11/23,6,Control,F,0,21
9/11/23,6,Low,A,0,45
9/11/23,6,Low,B,0,45
9/11/23,6,Low,C,0,45
9/11/23,6,Low,D,0,45
9/11/23,6,Low,E,0,45
9/11/23,6,Low,F,0,45
9/11/23,6,Medium,A,0,45
9/11/23,6,Medium,B,0,45
9/11/23,6,Medium,C,0,45
9/11/23,6,Medium,D,0,45
9/11/23,6,Medium,E,0,45
9/11/23,6,Medium,F,0,45
9/11/23,6,Severe,A,0,45
9/11/23,6,Severe,B,0,45
9/11/23,6,Severe,C,0,45
9/11/23,6,Severe,D,0,45
9/11/23,6,Severe,E,0,45
9/11/23,6,Severe,F,0,45
9/19/23,7,Control,A,0,21
9/19/23,7,Control,B,0,20
9/19/23,7,Control,C,0,21
9/19/23,7,Control,D,0,23
9/19/23,7,Control,E,0,20
9/19/23,7,Control,F,0,21
9/19/23,7,Low,A,0,45
9/19/23,7,Low,B,0,45
9/19/23,7,Low,C,0,45
9/19/23,7,Low,D,0,45
9/19/23,7,Low,E,0,45
9/19/23,7,Low,F,0,45
9/19/23,7,Medium,A,0,45
9/19/23,7,Medium,B,0,45
9/19/23,7,Medium,C,0,45
9/19/23,7,Medium,D,0,45
9/19/23,7,Medium,E,0,45
9/19/23,7,Medium,F,0,45
9/19/23,7,Severe,A,1,45
9/19/23,7,Severe,B,0,45
9/19/23,7,Severe,C,0,45
9/19/23,7,Severe,D,0,45
9/19/23,7,Severe,E,1,45
9/19/23,7,Severe,F,0,45
9/25/23,8,Control,A,0,21
9/25/23,8,Control,B,0,20
9/25/23,8,Control,C,0,21
9/25/23,8,Control,D,0,23
9/25/23,8,Control,E,0,20
9/25/23,8,Control,F,0,21
9/25/23,8,Low,A,0,45
9/25/23,8,Low,B,0,45
9/25/23,8,Low,C,0,45
9/25/23,8,Low,D,0,45
9/25/23,8,Low,E,0,45
9/25/23,8,Low,F,0,45
9/25/23,8,Medium,A,0,45
9/25/23,8,Medium,B,0,45
9/25/23,8,Medium,C,0,45
9/25/23,8,Medium,D,0,45
9/25/23,8,Medium,E,0,45
9/25/23,8,Medium,F,0,45
9/25/23,8,Severe,A,1,45
9/25/23,8,Severe,B,0,45
9/25/23,8,Severe,C,0,45
9/25/23,8,Severe,D,0,45
9/25/23,8,Severe,E,7,45
9/25/23,8,Severe,F,0,45
10/4/23,9,Control,A,0,21
10/4/23,9,Control,B,0,20
10/4/23,9,Control,C,0,21
10/4/23,9,Control,D,0,23
10/4/23,9,Control,E,0,20
10/4/23,9,Control,F,0,21
10/4/23,9,Low,A,0,45
10/4/23,9,Low,B,0,45
10/4/23,9,Low,C,0,45
10/4/23,9,Low,D,0,45
10/4/23,9,Low,E,1,45
10/4/23,9,Low,F,0,45
10/4/23,9,Medium,A,0,45
10/4/23,9,Medium,B,0,45
10/4/23,9,Medium,C,0,45
10/4/23,9,Medium,D,0,45
10/4/23,9,Medium,E,1,45
10/4/23,9,Medium,F,0,45
10/4/23,9,Severe,A,1,45
10/4/23,9,Severe,B,0,45
10/4/23,9,Severe,C,0,45
10/4/23,9,Severe,D,0,45
10/4/23,9,Severe,E,13,45
10/4/23,9,Severe,F,1,45
10/7/23,9.5,Control,A,0,21
10/7/23,9.5,Control,B,0,20
10/7/23,9.5,Control,C,0,21
10/7/23,9.5,Control,D,0,23
10/7/23,9.5,Control,E,0,20
10/7/23,9.5,Control,F,0,21
10/7/23,9.5,Low,A,0,45
10/7/23,9.5,Low,B,0,45
10/7/23,9.5,Low,C,0,45
10/7/23,9.5,Low,D,0,45
10/7/23,9.5,Low,E,1,45
10/7/23,9.5,Low,F,0,45
10/7/23,9.5,Medium,A,0,45
10/7/23,9.5,Medium,B,0,45
10/7/23,9.5,Medium,C,0,45
10/7/23,9.5,Medium,D,0,45
10/7/23,9.5,Medium,E,1,45
10/7/23,9.5,Medium,F,0,45
10/7/23,9.5,Severe,A,1,45
10/7/23,9.5,Severe,B,0,45
10/7/23,9.5,Severe,C,0,45
10/7/23,9.5,Severe,D,0,45
10/7/23,9.5,Severe,E,16,45
10/7/23,9.5,Severe,F,1,45
