plug_label,colony_id,bleach_treat,symbiont_treat,treatment,tank,treat_tank,coord_plot,t00,t14
849,E,Medium,SS8,M_SS8,3,M_SS8_3,"7, 9",3.137,2.997
873,E,Medium,SS8,M_SS8,3,M_SS8_3,"6, 2",2.139,1.004
719,D,Medium,SS8,M_SS8,3,M_SS8_3,"6, 4",3.412,3.63
1181,F,Medium,SS8,M_SS8,3,M_SS8_3,"6, 8",6.196,6.879
895,E,Medium,SS8,M_SS8,3,M_SS8_3,"6, 10",4.16,1.903
621,D,Medium,SS8,M_SS8,3,M_SS8_3,"5, 3",3.531,2.939
441,C,Medium,SS8,M_SS8,3,M_SS8_3,"5, 5",2.56,3.136
84,A,Medium,SS8,M_SS8,3,M_SS8_3,"5, 7",6.238,2.737
359,C,Medium,SS8,M_SS8,3,M_SS8_3,"5, 11",2.645,NA
118,A,Medium,SS8,M_SS8,3,M_SS8_3,"4, 2",6.314,2.637
1122,F,Medium,SS8,M_SS8,3,M_SS8_3,"4, 4",5.645,6.647
14,A,Medium,SS8,M_SS8,3,M_SS8_3,"4, 6",3.854,2.769
911,E,Medium,SS8,M_SS8,3,M_SS8_3,"4, 8",4.798,0.711
495,C,Medium,SS8,M_SS8,3,M_SS8_3,"4, 10",3.67,3.521
1068,F,Medium,SS8,M_SS8,3,M_SS8_3,"4, 12",2.811,3.447
541,C,Medium,SS8,M_SS8,3,M_SS8_3,"3, 1",6.479,7.211
995,F,Medium,SS8,M_SS8,3,M_SS8_3,"3, 9",6.832,7.7
44,A,Medium,SS8,M_SS8,3,M_SS8_3,"2, 8",3.511,2.504
230,B,Medium,SS8,M_SS8,3,M_SS8_3,"2, 10",3.742,4.165
1040,F,Medium,SS8,M_SS8,3,M_SS8_3,"1, 1",5.083,6.648
865,E,Medium,SS8,M_SS8,3,M_SS8_3,"1, 5",3.316,0.237
661,D,Medium,SS8,M_SS8,3,M_SS8_3,"1, 7",2.787,1.951
122,A,Control,C,C,2,C_2,"7, 1",7.56,10.63
645,D,Control,C,C,2,C_2,"7, 3",2.529,4.687
1099,F,Control,C,C,2,C_2,"7, 5",6.921,10.73
732,D,Control,C,C,2,C_2,"7, 7",2.29,NA
117,A,Control,C,C,2,C_2,"7, 9",6.124,8.517
1070,F,Control,C,C,2,C_2,"7, 11",5.576,9.425
966,E,Control,C,C,2,C_2,"6, 2",4.563,5.812
330,B,Control,C,C,2,C_2,"6, 4",4.791,7.672
1087,F,Control,C,C,2,C_2,"6, 6",6.557,10.773
886,E,Control,C,C,2,C_2,"6, 8",4.301,6.254
88,A,Control,C,C,2,C_2,"6, 10",4.056,5.924
682,D,Control,C,C,2,C_2,"6, 12",2.576,4.102
750,D,Control,C,C,2,C_2,"5, 1",3.222,3.374
237,B,Control,C,C,2,C_2,"5, 3",3.536,5.322
720,D,Control,C,C,2,C_2,"5, 5",2.387,3.463
1041,F,Control,C,C,2,C_2,"5, 7",5.89,10.186
777,D,Control,C,C,2,C_2,"5, 9",2.962,5.407
390,C,Control,C,C,2,C_2,"5, 11",3.023,5.454
85,A,Control,C,C,2,C_2,"4, 2",8.108,10.21
728,D,Control,C,C,2,C_2,"4, 4",3.212,4.357
669,D,Control,C,C,2,C_2,"4, 6",3.322,3.923
903,E,Control,C,C,2,C_2,"4, 8",3.455,6.074
76,A,Control,C,C,2,C_2,"4, 10",4.675,5.806
448,C,Control,C,C,2,C_2,"4, 12",1.796,2.917
1061,F,Control,C,C,2,C_2,"3, 1",6.068,9.417
1166,F,Control,C,C,2,C_2,"3, 3",5.421,8.908
177,B,Control,C,C,2,C_2,"3, 5",4.332,7.881
349,C,Control,C,C,2,C_2,"3, 7",3.872,6.546
408,C,Control,C,C,2,C_2,"3, 9",3.726,5.708
965,E,Control,C,C,2,C_2,"3, 11",5.119,6.251
1053,F,Control,C,C,2,C_2,"2, 2",6.315,9.965
53,A,Control,C,C,2,C_2,"2, 4",6.851,9.17
1039,F,Control,C,C,2,C_2,"2, 6",7.633,9.75
324,B,Control,C,C,2,C_2,"2, 8",8.629,11.749
487,C,Control,C,C,2,C_2,"2, 10",3.795,5.69
251,B,Control,C,C,2,C_2,"2, 12",6.138,10.978
830,E,Control,C,C,2,C_2,"1, 1",4.985,7.613
566,C,Control,C,C,2,C_2,"1, 3",3.327,7.398
33,A,Control,C,C,2,C_2,"1, 5",5.382,4.481
131,A,Control,C,C,2,C_2,"1, 7",4.951,6.539
461,C,Control,C,C,2,C_2,"1, 9",3.617,5.361
973,E,Control,C,C,2,C_2,"1, 11",6.357,8.411
501,C,Control,C,C,3,C_3,"7, 1",6.309,7.886
598,D,Control,C,C,3,C_3,"7, 3",6.485,8.424
97,A,Control,C,C,3,C_3,"7, 5",5.585,8.092
247,B,Control,C,C,3,C_3,"7, 7",5.711,8.946
809,D,Control,C,C,3,C_3,"7, 9",3.775,5.27
670,D,Control,C,C,3,C_3,"7, 11",2.521,3.876
314,B,Control,C,C,3,C_3,"6, 2",5.575,9.987
960,E,Control,C,C,3,C_3,"6, 4",2.816,4.275
1094,F,Control,C,C,3,C_3,"6, 6",6.044,12.517
94,A,Control,C,C,3,C_3,"6, 8",5.081,6.939
296,B,Control,C,C,3,C_3,"6, 10",1.723,2.956
91,A,Control,C,C,3,C_3,"6, 12",5.133,7.589
947,E,Control,C,C,3,C_3,"5, 1",3.967,5.359
310,B,Control,C,C,3,C_3,"5, 3",6.078,9.6
449,C,Control,C,C,3,C_3,"5, 5",2.581,3.44
69,A,Control,C,C,3,C_3,"5, 7",4.311,6.326
116,A,Control,C,C,3,C_3,"5, 9",7.358,10.285
373,C,Control,C,C,3,C_3,"5, 11",4.51,8.197
964,E,Control,C,C,3,C_3,"4, 2",6.315,8.283
915,E,Control,C,C,3,C_3,"4, 4",3.825,5.295
944,E,Control,C,C,3,C_3,"4, 6",5.308,7.417
354,C,Control,C,C,3,C_3,"4, 8",2.104,3.317
465,C,Control,C,C,3,C_3,"4, 10",6.495,9.778
105,A,Control,C,C,3,C_3,"4, 12",4.957,7.232
264,B,Control,C,C,3,C_3,"3, 1",4.576,7.262
402,C,Control,C,C,3,C_3,"3, 3",2.837,5.092
552,C,Control,C,C,3,C_3,"3, 5",2.547,3.954
856,E,Control,C,C,3,C_3,"3, 7",2.898,4.434
812,D,Control,C,C,3,C_3,"3, 9",3.387,5.619
106,A,Control,C,C,3,C_3,"3, 11",3.429,5.791
273,B,Control,C,C,3,C_3,"2, 2",4.012,7.294
125,A,Control,C,C,3,C_3,"2, 4",4.802,6.43
907,E,Control,C,C,3,C_3,"2, 6",4.564,5.456
1022,F,Control,C,C,3,C_3,"2, 8",6.864,9.696
974,E,Control,C,C,3,C_3,"2, 10",2.283,2.817
535,C,Control,C,C,3,C_3,"2, 12",2.89,5.601
1063,F,Control,C,C,3,C_3,"1, 1",6.051,9.018
110,A,Control,C,C,3,C_3,"1, 3",4.522,5.808
1036,F,Control,C,C,3,C_3,"1, 5",5.335,7.852
816,D,Control,C,C,3,C_3,"1, 9",3.511,4.436
218,B,Control,C,C,3,C_3,"1, 11",4.457,7.117
791,D,Control,C,C,3,C_3,"1, 7",4.819,6.255
447,C,Medium,RIC,M_RIC,1,M_RIC_1,"7, 9",NA,1.27
712,D,Low,SS8,L_SS8,2,L_SS8_2,"5, 3",NA,3.711
172,A,Low,RIC,L_RIC,2,L_RIC_2,"7, 7",NA,3.702
844,E,Medium,RIC,M_RIC,3,M_RIC_3,"4, 4",NA,2.552
